Facility Name,Address Line 1,City/Town,State,ZIP Code,Beliefs & Values Addressed (if desired by the patient),"Burdensome transitions, Type 1 (% live discharges)","Burdensome transitions, Type 2 (% live discharges)",CHC/GIP provided (% days),Early live discharges (% live discharges),Gaps in nursing visits (% elections),Hospice Care Index Overall Score,Hospice Visits in the Last Days of Life,Hospice and Palliative Care Composite Process Measure,Hospice and Palliative Care Dyspnea Screening,Hospice and Palliative Care Dyspnea Treatment,Hospice and Palliative Care Pain Assessment,Hospice and Palliative Care Pain Screening,Hospice and Palliative Care Treatment Preferences,Late live discharges (% live discharges),Nurse care minutes per routine home care days (minutes),Patient Treated with an Opioid Who Are Given a Bowel Regimen,Per-beneficiary spending (U.S. dollars $),Skilled nursing minutes on weekends (% minutes),Visits near death (% decedents),Latitude,Longitude
SERENITY HOSPICE LA LLC,2233 HONOLULU AVE STE 303,MONTROSE,CA,91020,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.211341,-118.230652
SERENITY HOSPICE LLC,"777 E TAHQUITZ CANYON WAY, SUITE 301",PALM SPRINGS,CA,92262,100.0,10.6,0.9,0.1,3.5,54.1,9.0,12.1,97.9,100.0,99.4,98.0,100.0,100.0,60.2,10.5,95.9,"17,865",8.9,97.9,33.860925,-116.566176
SERENITY HOSPICE OF UTAH LLC,627 WEST 4000 NORTH,PLEASANT GROVE,UT,84062,98.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,47.2,79.2,96.9,100.0,60.4,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40.441154,-111.67045
SERENITY HOSPICE SERVICES INC ,"13231 NORTH 35TH AVENUE, SUITE A11-B",PHOENIX,AZ,85029,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,33.594738,-112.109861
"SERENITY HOSPICE SERVICES, LLC",3445 NORTH CAUSEWAY BLVD ,METAIRIE,LA,70002,95.8,10.9,0.0,0.0,4.3,47.5,9.0,31.8,90.8,98.3,100.0,100.0,98.3,99.2,37.0,10.6,97.4,"14,362",3.4,81.8,30.012223,-90.162523
SERENITY HOSPICE SOLUTIONS,"523 N. SAM HOUSTON PKWY EAST, SUITE 390",HOUSTON,TX,77060,Not Available,0.0,7.7,0.1,7.7,89.4,7.0,2.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,69.2,11.3,Not Available,"19,681",13.9,87.2,29.935512,-95.397624
"SERENITY HOSPICE, LLC","153 CORDAVILLE ROAD, SUITE 120",SOUTHBOROUGH,MA,01772,84.9,0.0,0.0,0.0,6.7,39.7,8.0,50.0,78.3,100.0,68.2,100.0,98.1,98.1,66.7,14.9,Not Available,"12,512",5.8,89.7,42.302877,-71.530828
SERENITY HOSPICECARE,5272 FLAT RIVER ROAD,PARK HILLS,MO,63601,99.4,8.2,2.7,0.0,9.6,20.8,10.0,35.1,97.5,99.7,98.0,100.0,99.4,99.7,32.9,17.9,98.9,"9,673",11.5,96.1,37.824047,-90.544546
SERENITY ONE HOSPICE AND PALLIATIVE CARE LLC,"2200 S MAIN ST, SUITE 212",LOMBARD,IL,60148,40.9,0.0,0.0,0.0,10.0,78.9,9.0,Not Available,40.9,90.9,Not Available,Not Available,86.4,100.0,20.0,11.3,Not Available,"21,544",5.1,82.6,41.873571,-88.020766
"SERENITY POINT HOSPICE CARE, INC",1420 E LOS ANGELES AVE SUITE 201,SIMI VALLEY,CA,93065,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.258405,-118.775026
SERENITY POINT HOSPICE LLC,762 E CHESTNUT ST,CANTON,IL,61520,100.0,2.9,2.9,0.4,2.9,23.0,10.0,66.7,100.0,100.0,100.0,100.0,100.0,100.0,29.4,22.0,Not Available,"15,629",7.0,94.4,40.539026,-90.023221
SERENITY RIDGE PALLIATIVE AND HOSPICE CARE,11239 TAMPA AVE SUITE 203,PORTER RANCH,CA,91326,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.281486,-118.556005
SERVICIOS DE HOSPICIO DE ADJUNTAS,CALLE RODULFO GONZALEZ 46 SUITE 1,ADJUNTAS,PR,00601,96.1,1.6,1.6,0.0,0.0,4.0,8.0,47.7,32.3,100.0,100.0,57.5,66.1,97.6,53.2,15.3,60.0,"7,150",3.0,89.9,18.180555,-66.749961
SEVA HOSPICE ,100 WILLOW PLAZA SUITE 100,VISALIA,CA,93291,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.391777,-119.372842
"SEVA HOSPICE, INC",5380 PIRRONE RD SUITE 301-A,SALIDA,CA,95368,99.2,6.2,4.0,0.0,12.4,23.2,10.0,25.6,97.7,100.0,99.8,100.0,98.7,99.9,24.9,17.3,99.2,"18,295",7.3,95.8,37.713269,-121.085404
"SEVEN HILLS HOSPICE, LLC",14805 FOREST RD STE 204,FOREST,VA,24551,100.0,0.0,0.0,0.0,10.0,81.5,7.0,10.6,84.0,100.0,Not Available,Not Available,100.0,100.0,60.0,4.3,Not Available,"22,647",5.1,83.1,37.356256,-79.324598
"SEVENTH OCEAN HOSPICE CARE, INC",8953 WOODMAN AVE SUITE 211,PACOIMA,CA,91331,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.255442,-118.421314
SF VALLEY HOSPICE CARE INC,8133 SAN FERNANDO RD SUITE E,SUN VALLEY,CA,91352,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.230854,-118.365856
SH HOSPICE INC,45 WEST EASY STREET,SIMI VALLEY,CA,93065,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.258405,-118.775026
"SHAID HOSPICE, INC.",12501 CHANDLER BLVD,VALLEY VILLAGE,CA,91607,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.165783,-118.399795
SHALEM HOSPICE CARE LLC,2611 BELTLINE RD STE 127A,SUNNYVALE,TX,75182,95.2,25.0,0.0,0.0,25.0,46.7,7.0,37.5,76.2,95.2,Not Available,Not Available,90.5,100.0,25.0,13.9,95.0,"24,125",6.1,80.0,32.800521,-96.547575
SHALOM HOSPICE,"13905 E 39TH STREET SOUTH, STE 104",INDEPENDENCE,MO,64055,Not Available,8.8,0.0,0.0,5.9,61.0,10.0,17.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,44.1,14.7,Not Available,"21,214",5.2,92.5,39.050847,-94.397998
"SHALOM HOSPICE, LLC","5409 MARYLAND WAY, SUITE 212",BRENTWOOD,TN,37207,100.0,0.0,0.0,0.0,100,26.9,8.0,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,0.0,16.8,Not Available,"10,238",10.7,100,36.233774,-86.775969
"SHAMROCK HOSPICE, INC.",18455 BURBANK BLVD SUITE 307,TARZANA,CA,91356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.155097,-118.547553
SHANGRILA HOSPICE,"8280 UTICA AVENUE, SUITE 210",RANCHO CUCAMONGA,CA,91730,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.10097,-117.57882
"SHANTI HOSPICE, LLC","501 WEST RAY ROAD, SUITE 6",CHANDLER,AZ,85225,99.1,4.0,2.0,0.0,5.1,76.8,10.0,58.9,97.3,100.0,100.0,100.0,98.2,100.0,54.5,12.7,Not Available,"21,618",5.7,83.2,33.317448,-111.830487
"SHARE THE CARE HOSPICE, INC.",14545 FRIAR ST SUITE 180,VAN NUYS,CA,91411,Not Available,0.0,0.0,0.0,0.0,95.0,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18.2,10.3,Not Available,"24,162",20.6,71.4,34.178522,-118.459234
SHARON S RICHARDSON COMMUNITY HOSPICE,W2850 STATE ROAD 28,SHEBOYGAN FALLS,WI,53085,99.1,1.1,0.5,2.0,4.8,47.8,10.0,59.4,97.6,99.8,97.9,100.0,98.9,99.6,46.8,18.6,99.0,"12,473",9.5,96.5,43.732821,-87.855577
SHARON'S HOME HEALTH & HOSPICE,1103 E BOXELDER RD SUITE J-B,GILLETTE,WY,82718,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,43.878837,-105.621622
SHARP HOSPICECARE,4000 RUFFIN ROAD ,SAN DIEGO,CA,92123,96.2,6.2,2.2,2.0,13.7,75.3,9.0,41.9,88.9,98.8,94.4,85.4,99.7,99.6,32.2,11.9,93.3,"18,975",8.7,90.3,32.806794,-117.13493
SHEER LOVE HOSPICE,14545 FRIAR STREET,VAN NUYS,CA,91411,Not Available,0.0,0.0,0.0,0.0,76.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.1,8.0,Not Available,"18,243",19.6,Not Available,34.178522,-118.459234
SHEKINA GLORY LEGACY HOSPICE & PALLIATIVE SERVICES,17006 AUDREY ARBOR WAY,RICHMOND,TX,77407,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,29.670004,-95.708089
SHELDON HOSPICE,19531 VENTURA BLVD SUITE 10,TARZANA,CA,91356,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.155097,-118.547553
SHELTER HOSPICE INC,8111 LBJ FREEWAY SUITE # 1330,DALLAS,TX,75251,100.0,8.7,4.3,0.1,0.0,64.1,9.0,53.6,100.0,100.0,Not Available,Not Available,100.0,100.0,26.1,8.4,Not Available,"21,951",4.4,88.2,32.919789,-96.770948
"SHELTERING ARMS HOSPICE CARE, INC",12444 VICTORY BLVD SUITE 308,NORTH HOLLYWOOD,CA,91606,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.185767,-118.388323
"SHEPHERD HOME HEALTH & HOSPICE, LLC",525 S 30TH STREET,CLINTON,OK,73601,81.8,2.0,6.0,0.1,4.0,9.2,9.0,14.3,64.5,100.0,76.3,98.4,100.0,100.0,28.0,13.4,72.7,"16,828",8.0,98.8,35.489614,-98.963496
SHEPHERD HOSPICE,106 W BANKHEAD STREET,NEW ALBANY,MS,38652,100.0,27.3,9.1,0.0,0.0,66.7,4.0,Not Available,100.0,100.0,Not Available,Not Available,100.0,100.0,72.7,9.6,Not Available,"38,246",2.7,93.8,34.483075,-88.996667
SHEPHERD HOSPICE INC,14827 VENTURA BLVD SUITE 226,SHERMAN OAKS,CA,91403,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.147149,-118.463365
SHEPHERD'S COVE HOSPICE,408 MARTLING ROAD,ALBERTVILLE,AL,35951,99.6,10.1,0.0,2.9,4.7,59.7,9.0,48.8,96.6,99.6,98.4,99.6,99.1,99.8,36.4,9.9,96.2,"12,297",3.7,89.2,34.339098,-86.162297
SHERIDAN MEMORIAL HOSPICE,330 W LAUREL AVE,PLENTYWOOD,MT,59254,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,48.752325,-104.638786
SHERIDAN MEMORIAL HOSPITAL HOSPICE,1401 W 5TH STREET,SHERIDAN,WY,82801,100.0,0.0,0.0,0.4,0.0,39.5,10.0,59.2,96.9,100.0,97.1,100.0,100.0,100.0,28.6,19.2,94.6,"6,804",6.6,87.5,44.843713,-106.835993
SHIELD HOSPICE,7940 SILVERTON AVENUE SUITE 203,SAN DIEGO,CA,92126,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,32.908449,-117.14138
"SHILOH HOSPICE & PALLIATIVE CARE, LLC",603 E 170TH STREET,SOUTH HOLLAND,IL,60473,97.6,5.7,8.6,0.0,5.7,50.0,9.0,64.0,89.4,95.1,100.0,98.0,94.3,91.9,17.1,15.5,Not Available,"12,141",10.1,95.4,41.597379,-87.59915
SHINING LIGHT HOSPICE,3265 N FORT APACHE RD SUITE 150,LAS VEGAS,NV,89129,100.0,18.2,4.5,0.0,4.5,79.2,7.0,25.0,95.0,100.0,95.8,96.7,100.0,100.0,50.0,9.8,Not Available,"30,182",24.3,88.9,36.233315,-115.29015
SHIRKEY HOSPICE AND PALLIATIVE CARE,701 WOLLARD BLVD,RICHMOND,MO,64085,Not Available,13.6,0.0,0.0,0.0,20.1,10.0,42.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,31.8,17.8,Not Available,"16,685",8.2,94.3,39.334841,-93.945283
SHOLOM HOSPICE,740 KAY AVENUE,SAINT PAUL,MN,55102,96.8,3.6,3.6,0.0,3.6,75.9,9.0,51.5,83.0,100.0,83.9,92.5,98.9,100.0,57.1,13.4,89.1,"16,852",5.5,88.8,44.931901,-93.121291
"SHORELINE HOSPICE, INC.",14402 HAYNES ST,VAN NUYS,CA,91401,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.178483,-118.431791
SHORES HOSPICE LLC,2424 VISTA WAY SUITE 206,OCEANSIDE,CA,92054,90.1,0.0,0.0,0.0,7.7,49.4,9.0,37.9,85.7,98.9,97.4,100.0,97.8,100.0,38.5,14.1,Not Available,"18,188",9.8,92.8,33.195534,-117.354538
"SHRINE HOSPICE CARE, INC","7120 HAYVENHURST AVE, SUITE 212",VAN NUYS,CA,91406,100.0,2.2,0.7,1.6,20.1,67.5,9.0,Not Available,100.0,100.0,100.0,Not Available,100.0,100.0,18.7,11.9,Not Available,"16,727",22.8,89.1,34.195685,-118.490752
SHRIVERS HOSPICE,2052 EAST PIKE,ZANESVILLE,OH,43701,100.0,9.7,0.0,0.0,9.7,65.1,10.0,70.0,95.9,98.7,98.2,94.3,99.4,100.0,34.7,9.8,92.9,"17,877",7.9,99.4,39.96922,-81.991033
SIDNEY HEALTH CENTER HOSPICE,216 14TH AVE SW,SIDNEY,MT,59270,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,47.609455,-104.086128
SIENA HOSPICE,"3305 SPRING MOUNTAIN RD, STE 22",LAS VEGAS,NV,89102,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.14543,-115.186825
SIERRA HOSPICE,"201 N CHURCH ST, SUITE 300",LAS CRUCES,NM,88001,100.0,6.7,2.2,0.0,6.7,39.1,10.0,86.1,97.7,98.5,100.0,97.9,100.0,100.0,26.7,9.9,100.0,"16,959",6.5,98.3,32.290051,-106.75389
"SIERRA HOSPICE & PALLIATIVE CARE OF NEVADA, LLC",9183 W. FLAMINGO ROAD,LAS VEGAS,NV,89147,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.112796,-115.280141
"SIERRA HOSPICE CARE, INC",222 N HARVARD BLVD,LOS ANGELES,CA,90004,100.0,2.7,1.8,0.3,5.4,43.4,9.0,10.3,100.0,100.0,100.0,100.0,100.0,100.0,42.9,11.0,100.0,"17,087",7.2,58.0,34.076198,-118.310722
SIERRA PEAK HEALTH INC ,4045 SPENCER ST. SUITE A45,LAS VEGAS,NV,89119,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,36.084721,-115.146129
"SIGNAL HEALTH GROUP, PALLIATIVE CARE",3753 HOWARD HUGHES PARKWAY #200,LAS VEGAS,NV,89169,Not Available,0.0,100,0.0,100,42.9,7.0,85.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,15.4,Not Available,"18,245",7.1,100,36.124179,-115.141282
SIGNAL HOSPICE CARE LLC,4318 WOODCOCK DR STE 140 ,SAN ANTONIO,TX,78228,100.0,21.4,2.4,0.0,9.5,74.3,8.0,57.5,92.2,97.1,100.0,97.9,96.1,100.0,31.0,10.1,97.0,"21,457",7.9,90.7,29.460646,-98.571279
SIGNATURE HEALTHCARE AT HOME,"1200 EXECUTIVE PARKWAY, SUITE 400",EUGENE,OR,97401,99.7,4.7,2.3,0.0,16.3,66.8,8.0,60.6,98.7,99.7,99.2,100.0,99.7,100.0,39.5,11.9,100.0,"17,810",8.6,95.1,44.067988,-123.080181
SIGNATURE HEALTHCARE AT HOME,454 NE REVERE AVENUE,BEND,OR,97701,100.0,50.0,0.0,0.0,0.0,21.4,8.0,40.9,100.0,100.0,Not Available,Not Available,100.0,100.0,0.0,20.2,Not Available,"12,565",7.1,88.0,44.112338,-121.20634
SIGNATURE HEALTHCARE AT HOME,"7632 SW DURHAM RD, STE 130",TIGARD,OR,97224,99.0,2.9,2.2,0.0,5.8,52.0,10.0,42.1,96.6,99.8,97.4,98.8,99.3,99.5,38.8,14.0,99.0,"14,938",9.1,91.1,45.405501,-122.795056
SIGNATURE HEALTHCARE AT HOME,794 SE HIGHWAY 101,LINCOLN CITY,OR,97367,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,96.2,100.0,Not Available,Not Available,100.0,100.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,44.914756,-123.974231
SIGNATURE HEALTHCARE AT HOME,834 S. FRONT STREET,CENTRAL POINT,OR,97502,99.3,0.0,2.2,0.0,6.6,54.6,9.0,46.0,99.3,100.0,100.0,99.5,100.0,100.0,38.5,12.8,100.0,"13,290",6.7,91.1,42.414574,-122.954536
"SIGNATURE HOSPICE, LLC","2801 PARKLAWN DR, SUITE 401B",MIDWEST CITY,OK,73110,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35.461181,-97.397639
SIGNATURE NURSING CARE SERVICES INC,4425 W RIVERSIDE DR. SUITE 201A,BURBANK,CA,91505,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.173885,-118.346937
SILVER CITY HOSPICE & PALLIATIVE CARE,121 S GLENOAKS BLVD  SUITE 1-A,BURBANK,CA,91502,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.176817,-118.309323
SILVER LININGS HOSPICE,6450 S QUEBEC STE 650 BLDG 5,CENTENNIAL,CO,80111,100.0,3.8,3.8,0.8,11.5,40.6,9.0,20.3,93.0,98.2,94.3,96.6,100.0,100.0,19.2,9.4,Not Available,"14,282",2.8,81.2,39.613005,-104.877957
"SILVER SKY HOSPICE, INC.",20121 VENTURA BLVD SUITE 309,WOODLAND HILLS,CA,91364,100.0,5.1,2.6,0.3,2.6,37.8,10.0,Not Available,100.0,100.0,100.0,100.0,100.0,100.0,20.5,15.5,Not Available,"21,829",8.4,88.9,34.15404,-118.593153
"SILVER STATE HOSPICE CARE, LLC",1771 E FLAMINGO ROAD STE 120-A,LAS VEGAS,NV,89119,98.0,17.8,4.4,0.0,4.4,81.9,7.0,25.0,92.0,100.0,96.3,95.5,98.0,100.0,26.7,9.6,Not Available,"24,803",8.4,64.4,36.084721,-115.146129
SILVER STONE HOSPICE INC,620 W ROUTE 66,GLENDORA,CA,91740,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.119367,-117.855054
"SILVER YEARS HEALTHCARE, INC",6930 OWNESMOUTH AVE SUITE 201,CANOGA PARK,CA,91303,100.0,7.4,0.0,0.0,0.0,86.7,7.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,80.9,9.5,Not Available,"36,395",11.1,83.9,34.198292,-118.600913
SILVER-SPRING HEALTHCARE SERVICES INC,25700 I-45 NORTH SUITE 440,SPRING,TX,77386,Not Available,14.3,4.8,0.1,9.5,67.6,8.0,4.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,52.4,10.2,Not Available,"16,550",2.9,57.7,30.100255,-95.356479
SILVERADO HOSPICE - NORTH HOUSTON,"20445 STATE HIGHWAY 249, STE 120",HOUSTON,TX,77070,100.0,17.8,1.9,0.4,14.0,43.6,8.0,51.9,98.6,99.7,98.8,100.0,99.7,100.0,33.6,16.1,100.0,"16,058",7.6,96.3,29.979648,-95.572877
SILVERADO HOSPICE - SOUTH HOUSTON,4800 SUGAR GROVE BLVD SUITE 390,STAFFORD,TX,77477,99.2,14.5,2.7,0.2,8.2,52.3,10.0,61.1,95.9,98.8,100.0,99.2,98.4,99.6,41.8,13.5,100.0,"17,835",6.5,94.9,29.624261,-95.568033
SILVERADO HOSPICE COASTAL VALLEYS,27710 JEFFERSON AVE,TEMECULA,CA,92590,100.0,16.5,4.6,0.0,7.3,63.7,10.0,58.0,99.5,100.0,100.0,100.0,99.5,100.0,46.8,13.8,100.0,"23,736",8.1,93.6,33.482811,-117.226126
SILVERADO HOSPICE INC,"6400 OAK CANYON DRIVE, SUITE 200",IRVINE,CA,92618,100.0,10.9,0.5,0.1,7.3,73.8,9.0,62.9,99.4,99.8,99.2,100.0,100.0,100.0,59.4,14.1,100.0,"21,283",9.9,94.5,33.666942,-117.732094
SILVERADO HOSPICE SAN DIEGO,"5471 KEARNY VILLA ROAD, SUITE 300",SAN DIEGO,CA,92123,100.0,10.3,3.4,0.1,10.3,60.1,10.0,50.9,99.4,99.8,99.7,100.0,99.8,100.0,46.6,16.7,100.0,"20,971",8.3,95.3,32.806794,-117.13493
SILVERADO HOSPICE- AUSTIN,1701 DIRECTORS BLVD STE 410,AUSTIN,TX,78744,99.5,7.8,1.1,0.1,11.1,74.9,10.0,59.3,97.3,99.5,98.7,99.2,98.6,100.0,32.2,12.1,100.0,"19,090",7.2,91.8,30.176044,-97.727787
SILVERADO HOSPICE-DALLAS/FORT WORTH,4500 BELTWAY DRIVE,ADDISON,TX,75001,98.9,25.0,1.9,0.5,4.8,58.9,9.0,59.2,96.4,99.6,98.0,100.0,98.2,100.0,46.2,11.3,100.0,"15,422",7.0,94.9,32.960047,-96.838522
SILVERADO HOSPICE-LOS ANGELES,15821 VENTURA BLVD SUITE 515,ENCINO,CA,91436,99.7,9.6,2.1,0.0,5.3,64.5,10.0,42.8,99.5,100.0,100.0,100.0,99.7,100.0,57.8,16.9,100.0,"22,646",9.2,95.6,34.149588,-118.489708
"SILVEROAK HOSPICE AND PALLIATIVE CARE, INC","525 N LAUREL AVE, SUITE 103",ONTARIO,CA,91762,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34.05941,-117.674011
